ID	TM	SP	Prediction
FUN_003158-T1	0	0	i
FUN_000992-T1	0	0	o
FUN_005998-T1	0	0	o
FUN_001259-T1	0	0	o
FUN_004895-T1	0	0	o
FUN_000726-T1	3	0	o44-68i126-144o150-167i
FUN_001341-T1	0	0	o
FUN_005175-T1	4	0	i44-67o73-94i125-147o153-172i
FUN_001154-T1	0	0	o
FUN_001876-T1	0	0	o
FUN_006151-T1	0	0	o
FUN_003107-T1	13	0	o55-75i82-102o108-129i141-161o173-193i214-237o249-268i288-308o328-346i353-372o384-403i415-442o488-509i
FUN_002058-T1	0	0	o
FUN_002874-T1	2	0	o957-983i995-1021o
FUN_003634-T1	0	0	o
FUN_000746-T1	0	0	o
FUN_001622-T1	0	Y	n3-10c14/15o
FUN_005073-T1	0	0	o
FUN_003207-T1	0	0	o
FUN_000273-T1	0	0	o
FUN_003959-T1	0	0	o
FUN_005254-T1	0	Y	n2-10c15/16o
FUN_000176-T1	11	0	i160-182o188-210i235-257o277-297i309-330o350-374i386-408o428-448i469-493o513-536i560-580o
FUN_004081-T1	0	Y	n12-19c24/25o
FUN_004301-T1	0	0	o
FUN_000230-T1	0	0	o
FUN_001352-T1	0	0	o
FUN_003948-T1	0	0	o
FUN_003896-T1	0	0	o
FUN_000581-T1	0	Y	n4-15c20/21o
FUN_005713-T1	0	Y	n3-11c16/17o
FUN_005374-T1	12	0	i39-60o80-100i112-130o142-165i197-216o239-259i299-321o354-374i381-399o411-432i453-474o480-501i
FUN_003462-T1	0	0	o
FUN_005129-T1	0	0	o
FUN_001218-T1	0	0	o
FUN_002081-T1	4	0	i12-29o35-53i65-85o91-109i
FUN_005698-T1	3	0	i234-257o269-291i419-442o
FUN_003503-T1	0	0	o
FUN_001769-T1	1	0	o183-207i
FUN_002963-T1	0	0	o
FUN_004515-T1	2	0	i337-356o376-399i
FUN_003148-T1	0	0	o
FUN_003205-T1	1	0	i72-91o
FUN_005024-T1	12	0	i313-337o381-404i456-475o481-502i559-582o594-612i1011-1038o1058-1080i1131-1154o1160-1181i1244-1264o1276-1298i
FUN_001762-T1	12	0	i75-96o175-194i206-226o232-257i278-297o303-323i418-435o455-475i518-536o548-573i585-609o615-634i
FUN_006265-T1	0	0	o
FUN_005329-T1	0	0	o
FUN_001013-T1	4	0	i12-33o45-66i78-100o128-147i
FUN_004222-T1	0	Y	n2-12c17/18o
FUN_003093-T1	0	Y	n5-16c23/24o
FUN_002407-T1	0	Y	n22-33c41/42o
FUN_003782-T1	0	0	o
FUN_002680-T1	0	0	o
FUN_003659-T1	0	0	o
FUN_000191-T1	0	0	o
FUN_000650-T1	0	0	o
FUN_005268-T1	0	0	o
FUN_002311-T1	1	0	o888-906i
FUN_003097-T1	0	0	o
FUN_000275-T1	0	0	o
FUN_004521-T1	0	0	o
FUN_002884-T1	0	0	o
FUN_000511-T1	0	Y	n3-10c18/19o
FUN_006259-T1	12	0	i25-45o65-85i92-111o117-140i152-173o185-203i237-257o269-288i330-352o364-385i392-414o420-440i
FUN_006215-T1	0	0	o
FUN_000287-T1	0	0	o
FUN_002095-T1	10	0	i269-288o308-325i337-359o371-396i408-428o448-474i495-515o527-544i565-587o593-615i
FUN_004538-T1	0	0	o
FUN_005443-T1	6	0	i12-30o71-92i104-121o141-161i173-206o218-244i
FUN_002447-T1	0	0	o
FUN_001612-T1	0	0	o
FUN_001298-T1	0	0	o
FUN_001882-T1	0	0	i
FUN_006291-T1	0	Y	n3-14c19/20o
FUN_002050-T1	0	Y	n3-14c23/24o
FUN_004243-T1	0	Y	n11-22c29/30o
FUN_005356-T1	0	0	o
FUN_001428-T1	4	0	i101-121o164-195i216-234o240-259i
FUN_001927-T1	0	0	o
FUN_002512-T1	1	0	o255-279i
FUN_005472-T1	0	0	o
FUN_000851-T1	0	0	o
FUN_004105-T1	0	0	o
FUN_000391-T1	0	0	o
FUN_003824-T1	9	0	o6-27i149-170o176-195i211-229o241-265i277-307o313-332i344-365o371-393i
FUN_002611-T1	1	0	o200-223i
FUN_002564-T1	0	0	o
FUN_000634-T1	0	0	o
FUN_006254-T1	0	0	o
FUN_001373-T1	10	0	i140-166o178-199i211-230o236-256i268-285o291-314i326-345o357-377i398-425o451-471i
FUN_002867-T1	0	0	o
FUN_004854-T1	0	0	o
FUN_003306-T1	1	0	i130-147o
FUN_001407-T1	0	Y	n7-17c23/24o
FUN_001011-T1	0	0	o
FUN_001491-T1	0	0	o
