# NetGPI 1.1	Timestamp: 20221020034925
# ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
FUN_000027-T1	375	Not GPI-Anchored	-	0.993	*
FUN_004175-T1	381	Not GPI-Anchored	-	0.990	*
FUN_004356-T1	419	GPI-Anchored	391	0.655	G
FUN_004336-T1	701	Not GPI-Anchored	-	0.979	*
FUN_004332-T1	206	GPI-Anchored	183	0.264	S
FUN_004263-T1	267	Not GPI-Anchored	-	0.993	*
FUN_004231-T1	254	Not GPI-Anchored	-	0.994	*
FUN_004218-T1	1237	Not GPI-Anchored	-	0.983	*
FUN_004143-T1	178	Not GPI-Anchored	-	0.973	*
FUN_004417-T1	468	Not GPI-Anchored	-	0.994	*
FUN_004131-T1	508	GPI-Anchored	477	0.681	S
FUN_004124-T1	382	GPI-Anchored	359	0.548	S
FUN_004115-T1	729	Not GPI-Anchored	-	0.993	*
FUN_004109-T1	530	Not GPI-Anchored	-	0.990	*
FUN_004094-T1	394	Not GPI-Anchored	-	0.993	*
FUN_004093-T1	272	GPI-Anchored	243	0.417	G
FUN_004363-T1	463	Not GPI-Anchored	-	0.993	*
FUN_004447-T1	625	Not GPI-Anchored	-	0.985	*
FUN_004091-T1	335	Not GPI-Anchored	-	0.994	*
FUN_004697-T1	783	Not GPI-Anchored	-	0.993	*
FUN_004928-T1	335	Not GPI-Anchored	-	0.991	*
FUN_004886-T1	337	Not GPI-Anchored	-	0.995	*
FUN_004835-T1	616	Not GPI-Anchored	-	0.995	*
FUN_004790-T1	641	Not GPI-Anchored	-	0.992	*
FUN_004758-T1	234	Not GPI-Anchored	-	0.993	*
FUN_004755-T1	553	Not GPI-Anchored	-	0.992	*
FUN_004667-T1	482	Not GPI-Anchored	-	0.994	*
FUN_004484-T1	369	Not GPI-Anchored	-	0.994	*
FUN_004644-T1	307	Not GPI-Anchored	-	0.995	*
FUN_004620-T1	662	Not GPI-Anchored	-	0.983	*
FUN_004600-T1	279	GPI-Anchored	252	0.250	N
FUN_004532-T1	328	Not GPI-Anchored	-	0.995	*
FUN_004531-T1	448	GPI-Anchored	426	0.566	S
FUN_004510-T1	292	GPI-Anchored	270	0.627	S
FUN_004092-T1	315	Not GPI-Anchored	-	0.986	*
FUN_004083-T1	491	Not GPI-Anchored	-	0.995	*
FUN_004934-T1	451	Not GPI-Anchored	-	0.988	*
FUN_003236-T1	402	Not GPI-Anchored	-	0.765	*
FUN_003499-T1	291	Not GPI-Anchored	-	0.991	*
FUN_003487-T1	288	Not GPI-Anchored	-	0.993	*
FUN_003411-T1	519	Not GPI-Anchored	-	0.990	*
FUN_003354-T1	777	Not GPI-Anchored	-	0.993	*
FUN_003341-T1	228	Not GPI-Anchored	-	0.936	*
