Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
FUN_000001-T1,Cytoplasm,,0.6215000152587891,0.38530001044273376,0.15309999883174896,0.18029999732971191,0.414000004529953,0.05139999836683273,0.18469999730587006,0.1907999962568283,0.26660001277923584,0.005100000184029341
FUN_000002-T1,Nucleus,Nuclear localization signal,0.2483000010251999,0.8801000118255615,0.04540000110864639,0.024000000208616257,0.062199998646974564,0.003700000001117587,0.02160000056028366,0.027699999511241913,0.004100000020116568,0.0038999998942017555
FUN_000003-T1,Cytoplasm,Nuclear localization signal,0.7301999926567078,0.41769999265670776,0.07370000332593918,0.09790000319480896,0.05770000070333481,0.026799999177455902,0.1468999981880188,0.0471000000834465,0.29589998722076416,0.0006000000284984708
FUN_000004-T1,Mitochondrion,,0.2076999992132187,0.2071000039577484,0.4108000099658966,0.0778999999165535,0.5831999778747559,0.3321000039577484,0.23569999635219574,0.13099999725818634,0.25450000166893005,0.07199999690055847
FUN_000005-T1,Cytoplasm|Nucleus,Nuclear localization signal,0.5074999928474426,0.7605000138282776,0.1111999973654747,0.0551999993622303,0.13379999995231628,0.016100000590085983,0.052799999713897705,0.07739999890327454,0.031700000166893005,0.013299999758601189
FUN_000006-T1,Nucleus,,0.3027999997138977,0.7519999742507935,0.07609999924898148,0.026599999517202377,0.09749999642372131,0.03579999879002571,0.16609999537467957,0.04749999940395355,0.026900000870227814,0.004999999888241291
FUN_000007-T1,Nucleus,Nuclear localization signal,0.4325000047683716,0.8597000241279602,0.07039999961853027,0.012799999676644802,0.10580000281333923,0.007799999788403511,0.0869000032544136,0.042500000447034836,0.07429999858140945,0.0006000000284984708
FUN_000008-T1,Nucleus,Nuclear localization signal,0.25440001487731934,0.9180999994277954,0.04280000180006027,0.02019999921321869,0.05810000002384186,0.042899999767541885,0.03060000017285347,0.014499999582767487,0.025499999523162842,0.0007999999797903001
FUN_000009-T1,Mitochondrion,Mitochondrial transit peptide,0.33649998903274536,0.289900004863739,0.0722000002861023,0.08299999684095383,0.7159000039100647,0.05779999867081642,0.565500020980835,0.24709999561309814,0.36899998784065247,0.0034000000450760126
FUN_000010-T1,Endoplasmic reticulum,Transmembrane domain,0.20280000567436218,0.23669999837875366,0.09080000221729279,0.3596000075340271,0.3149999976158142,0.11580000072717667,0.6349999904632568,0.2815000116825104,0.23579999804496765,0.0471000000834465
