	CYTB	RPB1	RPB2	TEF1	ITS1	5_8S	ITS2	LSU	SSU
Hamamotoa lignophila CBS7109/JCM9033	KJ707637	KJ708138	KJ708242	KJ707953	AF444513	AF444513	AF444513	KY107776	
Colacogloea terpenoidalis CBS8445	KJ707650	KJ707999	KJ708272	KJ707774	AF444623	AF444623	AF444623	KY106948	KJ708374
Chrysozyma griseoflava CBS7284/JCM5653/AFTOL-ID1938	KJ707717	KJ708143	KJ708305	KJ707950	AF444557	AF444557	AF444557	EF537895	D66884
Colacogloea cycloclastica CBS8448	KJ707652	KJ707997	KJ708224	KJ707775	AF444631	AF444631	AF444631	AF444732	KJ708376
Colacogloea retinophila CBS8446	KJ707651	KJ707994	KJ708262	KJ707771	KY102578	KY102578	KY102578	KY106947	KJ708373
Colacogloea eucalyptica ATCCMYA-4815/CBS8499	KJ707655	KJ708061	KJ708227	KJ707839	JN882334	JN882334	JN882334	EU075183	KJ708377
Colacogloea subericola CBS10442/CECT11976/Y31	KJ707600		KJ708270	KJ707835	DQ870625	DQ870625	DQ870625	AY296052	
Colacogloea philyla CBS6272/JCM3933	KJ707631	KJ707996	KJ708255	KJ707772	AF444506	AF444506	AF444506	KY106946	KJ708438
Sporidiobolus salmonicolor CBS490putative/CBS490/JCM1841/ML3151	KJ707627	KF706507	KJ708287	KJ707923	AY015434	AY015434	AY015434	AF070439	AB021697
Ustilentyloma graminis CBS6403/JCM3932/AFTOL-ID674	AB040629	DQ832197	DQ234555	KJ707802	AF444524	AF444524	AF444524	AF189933	AY657013
Oberwinklerozyma yarrowii CBS7417	KJ707735		KJ708275	KJ707938	AF444628	AF444628	AF444628	KY108666	
Sampaiozyma vanillica CBS7404/JCM9741	KJ707747	KJ708005	KJ708273	KJ707809	AF444575	AF444575	AF444575	KY109537	KJ708448
Rhodotorula sphaerocarpa CBS5939	KJ707734	KJ708086	KJ708207	KJ707867	AF444499	AF444499	AF444499	KY109155	
Meredithblackwellia eburnea CBS12589/NRRLY-48821/MCA4105	Mereb1_mito_scaffold_1:479-907	Mereb1_scaffold_12:448757-456067	Mereb1_scaffold_16:66025-71451	Mereb1_scaffold_13:16534-19647	JX508799	JX508799	JX508799	KY108448	JX508797
Phenoliferia glacialis CBS10436	KJ707597	KJ708067	KJ708233	KJ707831	KY104503	KY104503	KY104503	KY108773	KJ708381
Slooffia pilatii CBS7039/JCM9036	AB040641	KJ708137	KJ708256	KJ707947	AF444598	AF444598	AF444598	AF189963	KJ708364
Glaciozyma antarctica CBS5942/JCM9057	KJ707745	KJ708131	KJ708182		AF444529	AF444529	AF444529	AF189906	
Pseudohyphozyma pustula CBS6527/JCM3934	AB040642	KJ708128	KJ708261	KJ707937	AF444531	AF444531	AF444531	KY108953	KJ708361
Rhodotorula kratochvilovae CBS7436	KJ707733	KJ708095	KJ708205	KJ707863	AF444520	AF444520	AF444520	AF071436	
Sampaiozyma ingeniosa CBS4240/JCM9031	AB040631	KJ708004	KJ708237	KJ707803	AF444534	AF444534	AF444534	KY109535	KJ708445
Rhodotorula graminis CBS2826/JCM3775	AB040628	KJ708093	KJ708234	KJ707868	AF444505	AF444505	AF444505	AF070431	X83827
Trigonosporomyces hylophilus CBS6226	AB040630	KJ708008	KJ708236	KJ707764	KY105766	KY105766	KY105766	KY109977	KY105766
Pseudohyphozyma buffonii CBS7150	AB040620	KJ708127	KJ708217	KJ707946	KY104681	KY104681	KY104681	KY108951	
Sporobolomyces johnsonii AS2.1927/CBS5470/JCM1840	KJ707564	KJ708105		KJ707931	AY015431	AY015431	AY015431	AF070435	
Rhodosporidiobolus odoratus CBS9115	KJ707694	KJ708045	KJ708322	KJ707819	KY104702	KY104702	KY104702	KY108968	
Yunzhangia auriculariae CBS6379/JCM1597	AB040617	KJ708134	KJ708213	KJ707935	AF444507	AF444507	AF444507	KY110214	KJ708429
Pseudohyphozyma bogoriensis CBS4101/JCM1692	JALBUQ010000302.1:7236-7660	KJ708130	KJ708216	KJ707949	AF444536	AF444536	AF444536	KY108949	
Sporobolomyces roseus CBS486	KJ707569	KJ708119	KJ708331	HM014022	KY105523	KY105523	KY105523	KY109761	
Yunzhangia sonckii CBS6713/JCM3935	AB040643	KJ708118	KJ708267	KJ707911	AF444601	AF444601	AF444601	AF189969	KJ708439
Sporobolomyces lactucae HU9203	MG589041			MG589082	MG470912	MG470912	MG470912		
Rosettozyma petaloides CGMCC2.3446/WZS29.14/WZS9.2	MK848904	MK849174	MK849303	MK849034	MK050395	MK050395	MK050395		MK050395
Rosettozyma cystopteridis CGMCC2.2615/XZ16E1	MK848876	MK849131	MK849272	MK849002	MK050398	MK050398	MK050398		MK050398
Rosettozyma motuoensis CGMCC2.5819/XZ118E6	MK848991	MK849260	MK849397		MK050400	MK050400	MK050400		MK050400
Rhodosporidiobolus platycladi CGMCC2.3118/BJ6-3	MK848895	MK849153	MK849293	MK849023	MK050401	MK050401	MK050401		MK050401
Rhodosporidiobolus jianfalingensis CGMCC2.3532/JF25.7-1/JF25.7-2	MK848916	MK849178	MK849316	MK849047	MK050402	MK050402	MK050402		MK050402
Rhodosporidiobolus fuzhouensis CGMCC2.4435/FJYZ2-6	MK848936	MK849201	MK849340	MK849067	MK050404	MK050404	MK050404		MK050404
Sporobolomyces cellobiolyticus CGMCC2.5675/HLJ32B2/HLJ33B4	MK848985	MK849249	MK849386	MK849113	MK050406	MK050406	MK050406		MK050406
Sporobolomyces reniformis CGMCC2.5627/GPS21.2C2	MK848965	MK849230	MK849370	MK849096	MK050408	MK050408	MK050408		MK050408
Sporobolomyces ellipsoideus CGMCC2.5619/GPS20.8C10/GPS20.1A4/GPS22.1B3/GPS20.1B3/GPS20.8C1/GPS21.5C1	MK848969	MK849233	MK849369	MK849099	MK050409	MK050409	MK050409		MK050409
Sporobolomyces primogenomicus IAM13481	MK848872	MK849124	MK849266	MK848998	MK050417	MK050417	MK050417		MK050419
Heitmania tridentata CGMCC2.5602/GPS20.16B3	MK848951	MK849217	MK849356	MK849083	MK050420	MK050420	MK050420		MK050420
Heitmania cylindrica CGMCC2.5650/GPS20.2C8	MK848972	MK849237	MK849376	MK849101	MK050421	MK050421	MK050421		MK050421
Microbotryozyma swertiae CGMCC2.3533/ZXS7.7	MK848918	MK849180	MK849318	MK849049	MK050424	MK050424	MK050424		MK050424
Yamadamyces terricola 03-1	MK848874	MK849127	MK849268	MK848999	MK050425	MK050425	MK050425		MK050425
Oberwinklerozyma dicranopteridis CGMCC2.3441/SM10.2	MK848901	MK849162	MK849300		MK050426	MK050426	MK050426		MK050426
Oberwinklerozyma nepetae XZ129C7	MK848992	MK849254	MK849391		MK050427	MK050427	MK050427		MK050427
Chrysozyma pseudogriseoflava CGMCC2.5629/GPS22.3A2/GPS21.6B3	MK848970	MK849234	MK849373	MK849098	MK050428	MK050428	MK050428		MK050428
Chrysozyma rhododendri XZ160D3	MK848995	MK849263	MK849400	MK849121	MK050433	MK050433	MK050433		MK050433
Chrysozyma iridis CGMCC2.2769/XZ8B3	MK848886	MK849144	MK849285	MK849013	MK050434	MK050434	MK050434		MK050434
Chrysozyma sorbariae CGMCC2.2768/XZ9D1/XZ11B4	MK848884	MK849142	MK849283	MK849012	MK050435	MK050435	MK050435		MK050435
Chrysozyma fusiformis CGMCC2.2765/XZ33C2	MK848883	MK849140	MK849281	MK849010	MK050437	MK050437	MK050437		MK050437
Chrysozyma cylindrica CGMCC2.3455/WZS29.2	MK848906	MK849168	MK849306	MK849036	MK050439	MK050439	MK050439		MK050439
Chrysozyma flava CGMCC2.5611/GPS20.4A1	MK848955	MK849221	MK849360	MK849086	MK050440	MK050440	MK050440		MK050440
Yurkovia longicylindrica CGMCC2.5603/GPS20.2C3	MK848952	MK849218	MK849357	MK849084	MK050441	MK050441	MK050441		MK050441
Pseudohyphozyma lulangensis CGMCC2.2612/XZ50B2	MK848875	MK849129	MK849270		MK050442	MK050442	MK050442		MK050442
Pseudohyphozyma hydrangeae CGMCC2.5607/CGMCC2.5618/CGMCC2.5623/CGMCC2.2797/CGMCC2.2796/GPS23.3D2/XZ46C5/GPS20.2D2/XZ46A1/GPS23.3D3/GPS23.3C2	MK848961	MK849224	MK849367	MK849092	MK050448	MK050448	MK050448		MK050444
Slooffia globosa 4-6	MK848989	MK849255	MK849392	MK849116	MK050449	MK050449	MK050449		MK050449
Colacogloea hydrangeae CGMCC2.2798/XZ46B3	MK848889	MK849147		MK849017	MK050451	MK050451	MK050451		MK050451
Colacogloea rhododendri CGMCC2.2770/XZ10F1/GPS20.5D6/GPS20.5C1	MK848974	MK849239	MK849286	MK849103	MK050452	MK050452	MK050452		MK050452
Psychromyces glacialis EXF-13111	MT260392		MW036268	MT260389				MT301949	MT248408
Camptobasidium arcticum EXF-12713	MT260394		MT260386	MT260390	MN983248	MN983248	MN983248	MK454798	MT304813
Rhodotorula mucilaginosa CBS316	KJ707731	DQ832202	DQ832201	DQ832203	AF444541	AF444541	AF444541		
Mixia osmundae IAM14324	KJ707670	KJ708076	KJ708193	KJ707837	DQ831010	DQ831010	DQ831010		BABT02000083.1:153-1942
Bensingtonia pseudorectispora CGMCC2.5677/XZ154D5	MK848983	MK849247	MK849384	MK849111	MK050367	MK050367	MK050367		MK050367
Pseudobensingtonia fusiformis XZ152E3A/XZ152B1/XZ152E3/XZ152E3C	MK848891	MK849149	MK849289	MK849019	MK050369	MK050369	MK050369		MK050368
Ruinenia fanjingshanensis CGMCC2.4542/FJS3F22	MK848946	MK849211	MK849267	MK849078	MK050372	MK050372	MK050372		MK050372
Ruinenia lunata TW2.1E-028	MN014079		MN014088	MN014094	KP020113	KP020113	KP020113		
Pseudosterigmatospora motuoensis XZ119B3	MK848988	MK849253	MK849389	MK849115	MK050374	MK050374	MK050374		MK050374
Meniscomyces layueensis CGMCC2.5681/XZ100	MK848984	MK849248	MK849385	MK849112	MK050380	MK050380	MK050380		MK050379
[Rhodotorula] nothofagi CBS8166/JCM9034/AFTOL-ID1935		KJ708002	KJ708248	KJ707765	AF444537	AF444537	AF444537		KJ708447
Leucosporidium muscorum CBS6921/JCM1697		KJ708038	KJ708180	KJ707792	AF444527	AF444527	AF444527	AF070433	KJ708414
Leucosporidium fragarium CBS6254/JCM3930		KJ708031	KJ708231	KJ707790	AF444530	AF444530	AF444530	KY108279	KJ708413
Rhodotorula paludigena CBS6566		KJ708094	KJ708206	KJ707870	AF444492	AF444492	AF444492	AF363640	
Udeniozyma ferulica CBS7416		KJ708129	KJ708229	KJ707940	AF444632	AF444632	AF444632	KY110016	KJ708379
Slooffia cresolica CBS7998		KJ708135	KJ708222	KJ707942	AF444570	AF444570	AF444570	AF189926	KJ708365
Colacogloea foliorum CBS5234/JCM1696		KJ708126	KJ708230	KJ707941	AF444633	AF444633	AF444633	KY106943	
Libkindia masarykiana PYCC6886/KT310		KX620744		KX620745	KU187885	KU187885	KU187885	KU187889	
Colacogloea diffluens CBS5233		KJ708125	KJ708226	KJ707939				KY106940	
Vonarxula javanica CBS5236/JCM9032		KJ708006	KJ708238	KJ707766	AF444532	AF444532	AF444532	AF189935	KJ708446
Sporobolomyces ruberrimus CBS7500/JCM3763/ML3801		KJ708121		HM014017	AY015439	AY015439	AY015439	AF070442	
Leucosporidium golubevii CBS9651/PYCC5759		KJ708037	KJ708185	KJ707787	AY212987	AY212987	AY212987	AY212997	KJ708386
Rhodotorula araucariae CBS6031/JCM3770		KJ708096	KJ708209	KJ707862	AF444510	AF444510	AF444510	KY108982	KJ708435
[Rhodotorula] futronensis JCM9029		KJ708062	KJ708232	KJ707836	AB038090	AB038090	AB038090	KP216511	KJ708444
Heitmania castanopsis CBS14750/CGMCC2.5698/CGMCC2.5701/CGMCC2.5695/CGMCC2.5696/CGMCC2.5694/CGMCC2.5697/CGMCC2.5700/CGMCC2.5699/GT-257/GT-233		KY614370	KY614382	MF163556	KY450666	KY450666	KY450666	KY450666	MF163546
Pseudoleucosporidium fasciculatum CBS8786		KJ707998	KJ708183	KJ707769	KY104018	KY104018	KY104018		KJ708387
Chrysozyma sambuci CGMCC2.2618/XZ13C5/XZ13B7		MK849137	MK849277	MK849004	MK050431	MK050431	MK050431		MK050431
Colacogloea aletridis CGMCC2.2766/XZ31A1		MK849141	MK849282	MK849011	MK050450	MK050450	MK050450		MK050450
Yurkovia mendeliana KT152		KX620742		KX620743	KU187884	KU187884	KU187884		
Rhodotorula toruloides CBS6016/NP11		ALAU01000099.1:5587-6635	ALAU01000116.1:30080-31101	ALAU01000047.1:2762-3791	KY104925	KY104925	KY104925	KY109167	KY104925
Ruinenia bangxiensis CGMCC2.3454/ST-153/HBX1.0		MK849167	MK849305	MK849035	MN194597	MN194597	MN194597	DQ404467	MK050373
Sterigmatospora layueensis XZ100A2B		MK849259	MK849396	MK849119	MK050375	MK050375	MK050375		MK050375
Rhodotorula evergladensis CBS10880			KJ708228	KJ707834	FJ008054	FJ008054	FJ008054	FJ008048	KJ708398
Sporidiobolus pararoseus CBS491				HM014019	AY015429	AY015429	AY015429	AF189977	
Rhodotorula glutinis CBS20/AFTOL-ID720				KJ707869	AF444539	AF444539	AF444539	AY646097	DQ832194
Heitmania litseae CBS14756/GT-342/GT-158/GT-936/GT-346/GT-187/GT-185				MF163559	KY450665	KY450665	KY450665	KY450665	MF163545
Heitmania elacocarpi CBS14752/GT-160				MF163552	KY450663	KY450663	KY450663	KY450663	MF163543
Rhodotorula frigidialcoholis JG1b				MT584855	MT560678	MT560678	MT560678		
Glaciozyma watsonii CBS10986					KY103475	KY103475	KY103475	KY107759	
Microbotryozyma collariae ATCCMYA-4666					JN849458	JN849458	JN849458	JN849460	
Bannozyma yamatoana AS2.1956/CBS7243/JCM2896					AB038079	AB038079	AB038079	KY106161	
Microbotryum silenes-saxifragae KRM23890/KR23890					JN000071	JN000071	JN000071	JN000075	
Microbotryum violaceum GLM50283					DQ640065	DQ640065	DQ640065	DQ640070	
Camptobasidium gelus CBS8941					AY040665	AY040665	AY040665	AY040647	
Microbotryum adenopetalae KRAMF55201					DQ366848	DQ366848	DQ366848	DQ366876	
Microbotryum liroi KRAM296281					KY421500	KY421500	KY421500	KY421502	
Rhodotorula ngohengohe ICMP22106					KY285005	KY285005	KY285005	KY285006	
Leucosporidium escuderoi CBS12734/131209-E2A-C3-II-lev/CECT13080					JN197600	JN197600	JN197600	JN181009	
Rhodotorula babjevae CBS7808					AF444542	AF444542	AF444542	AF070420	
Leucosporidium drummii CBS11562/AY220					FN908919	FN908919	FN908919	FN428965	
Leucosporidium krtinense PYCC6879/KT96					KU187882	KU187882	KU187882	KU187886	
Sporobolomyces longiusculus CBS9654/PYCC5818/CRUB1044					AY552327	AY552327	AY552327	AY158657	
Glaciozyma martinii CBS10620					EU149807	EU149807	EU149807	KY107753	
Sporobolomyces musae BRIP28276					OK483138	OK483138	OK483138	OK483137	
Colacogloea diffluens 					AF444533	AF444533	AF444533		
Rhodosporidiobolus oreadorum CBS14900/PYCC6772/EXF-3880					MF189945	MF189945	MF189945	MF189940	
Hamamotoa cerberi DSM102961/HEW-1-21					MK493335	MK493335	MK493335		
Hamamotoa telluris DSM102968/HEW-1-23					MK493334	MK493334	MK493334		
Microbotryum alpinum KRAMF-58715					KY421494	KY421494	KY421494		
Glaciozyma litoralis PYCC6252/VKPMY3850/K94b					HF934009	HF934009	HF934009	HF934009	
Pycnopulvinus aurantiacus MCA2548/PULF2679					KJ676978	KJ676978	KJ676978		
Bensingtonia wuzhishanensis CGMCC2.3569					MK050366	MK050366	MK050366		MK050366
Crittendenia coppinsii AM267					MT520689	MT520689	MT520689	MT482329	
